Name,Address,Category,Phone,Website,Rating
LA IT Solutions,"112 W 9th St #626, Los Angeles, CA 90015",Computer service,(213) 430-9100,http://www.la-itsolutions.com/,3.7
Your IT Support,"402 N Stoneman Ave APT C, Alhambra, CA 91801",Computer support and services,(657) 204-5556,https://www.yourit-support.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=2997618899977744468,4.7
Los Angeles IT,"548 S Spring St, Los Angeles, CA 90013",Computer support and services,(213) 465-7536,https://losangelesit.com/?utm_source=google&utm_medium=GMB&utm_campaign=los-angeles-548&utm_content=Maps,5
Groom-It Industries,"3305 Glendale Blvd, Los Angeles, CA 90039",Sharpening service,(323) 663-5953,N/A,4.7
It's Thai Casual Dining,"Ste No GND1, 1055 Wilshire Blvd, Los Angeles, CA 90017",Thai restaurant,(213) 221-4045,http://www.itsthai.net/,4
Nailed it nail spa salon,"426 W Pico Blvd, Los Angeles, CA 90015",Nail salon,(213) 493-4637,N/A,4.3
Machina IT Managed Services & Support,"506 S Spring St #13308, Los Angeles, CA 90013",Computer support and services,(866) 980-1553,https://www.machinait.com/,5
and yet it moves,"4320 Eagle Rock Blvd, Los Angeles, CA 90041",Pilates studio,(213) 444-1855,http://andyetitmoves.studio/,5
Captain IT,"835 Wilshire Blvd Suite 500, Los Angeles, CA 90017",Computer support and services,(213) 335-3249,https://www.captainit.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,5
Next Perimeter,"535 N Brand Blvd Suite 420, Glendale, CA 91203",Computer support and services,(818) 638-5060,https://nextperimeter.com/areas-served/los-angeles/,5
It's Boba Time- Eagle Rock,"2255 Colorado Blvd, Los Angeles, CA 90041",Bubble tea store,(323) 474-6101,http://www.itsbobatime.com/,4.6
Wrap It Up Shawarma,"115 W Wilson Ave, Glendale, CA 91203",Restaurant,(818) 696-2225,https://wrap-it-up-inc.square.site/,4.6
Global IT,"600 W 7th St, Los Angeles, CA 90017",Computer networking service,(877) 822-5565,https://globalit.com/,5
It-makes,"110 E 9th St Suite C881, Los Angeles, CA 90079",Architecture firm,(323) 849-0018,N/A,5
Intelligent Technical Solutions | Managed IT Services Los Angeles,"489 E Colorado Blvd, Pasadena, CA 91101",Computer security service,(626) 387-3358,https://www.itsasap.com/its-los-angeles,5
It's Boba Time,"704 N Vermont Ave, Los Angeles, CA 90029",Bubble tea store,(323) 662-2622,https://itsbobatime.com/,4.5
Plant-It Burger,"724 S Spring St, Los Angeles, CA 90014",Hamburger restaurant,(213) 267-6993,http://www.plantitburger.com/,4
It's Boba Time- Glendale Marketplace,"136 S Brand Blvd, Glendale, CA 91205",Bubble tea store,(818) 945-5755,http://www.itsbobatime.com/,4.2
Crimson IT,"U.S. Bank Tower, 633 W 5th St #810, Los Angeles, CA 90071",Computer support and services,(310) 838-3700,http://www.crimsonit.com/,5
"IT Training & Consulting, Inc","1605 W Olympic Blvd # 520, Los Angeles, CA 90015",Computer support and services,(213) 388-4057,http://www.it-tc.com/,N/A
